E,H,C,timestamp
1.429934326,2.845630811,0.039286804,734110.1146
1.40287065,2.839033349,0.039289481,734110.125
1.398334878,2.8644819,0.039292158,734110.1354
1.434129116,2.889930452,0.039294835,734110.1458
1.429791407,2.915379003,0.039297512,734110.1563
1.424939643,2.940827554,0.039300189,734110.1667
1.415249723,3.058909855,0.039302866,734110.1771
1.43519258,3.176992154,0.039305543,734110.1875
1.435646158,3.295074453,0.03930822,734110.1979
1.437762851,3.413156753,0.039310897,734110.2083
1.431866348,3.701630608,0.039313574,734110.2188
1.434739003,3.990104462,0.039316251,734110.2292
1.430808001,4.278578319,0.039318928,734110.2396
1.433983041,4.567052174,0.039321605,734110.25
1.437762851,4.681816174,0.039324282,734110.2604
1.439728352,4.796580177,0.039326959,734110.2708
1.430505616,4.911344177,0.039329636,734110.2813
1.438821198,5.026108178,0.039332313,734110.2917
1.433983041,4.913350768,0.03933499,734110.3021
1.437006889,4.80059336,0.039337667,734110.3125
1.433378272,4.687835951,0.039340344,734110.3229
1.433529464,4.575078542,0.039343021,734110.3333
1.448172447,4.383758108,0.039345698,734110.3438
1.409529267,4.192437674,0.039348375,734110.3542
1.370886087,4.001117238,0.039351052,734110.3646
1.369114112,3.809796804,0.039353729,734110.375
1.376082569,3.613224737,0.039356406,734110.3854
1.423768144,3.416652668,0.039359083,734110.3958
1.395914242,3.220080602,0.03936176,734110.4063
1.368060341,3.023508535,0.039364437,734110.4167
1.340206439,3.030506547,0.039367114,734110.4271
1.352177248,3.037504559,0.039369791,734110.4375
1.356008463,3.04450257,0.039372468,734110.4479
1.360683936,3.051500582,0.039375145,734110.4583
1.362711123,3.101101495,0.039377822,734110.4688
1.30288341,3.150702407,0.039380499,734110.4792
1.320829341,3.20030332,0.039383176,734110.4896
1.344241619,3.249904233,0.039385853,734110.5
1.362619545,3.193715676,0.03938853,734110.5104
1.37652623,3.137527119,0.039391207,734110.5208
1.41137696,3.081338562,0.039393884,734110.5313
1.446227688,3.025150005,0.039396561,734110.5417
1.481078417,2.962361171,0.039399238,734110.5521
1.515929147,2.899572337,0.039401915,734110.5625
1.550779875,2.836783503,0.039404592,734110.5729
1.585630604,2.773994668,0.039407269,734110.5833
1.619553786,2.824492663,0.039409946,734110.5938
1.653476967,2.874990658,0.039412623,734110.6042
1.687400149,2.925488654,0.0394153,734110.6146
1.688031528,2.975986648,0.039417977,734110.625
1.688662907,3.020983165,0.039420654,734110.6354
1.689294287,3.065979682,0.039423331,734110.6458
1.675881838,3.110976199,0.039426008,734110.6563
1.662469389,3.155972715,0.039428685,734110.6667
1.673491089,3.183288621,0.039431362,734110.6771
1.676388458,3.210604526,0.039434039,734110.6875
1.679285826,3.237920431,0.039436716,734110.6979
1.682183195,3.265236336,0.039439393,734110.7083
1.664114759,3.313951907,0.03944207,734110.7188
1.653237922,3.362667477,0.039444747,734110.7292
1.646228728,3.411383049,0.039447424,734110.7396
1.651085165,3.460098619,0.039450101,734110.75
1.651560738,3.47547178,0.039452778,734110.7604
1.628153644,3.490844941,0.039455455,734110.7708
1.609623155,3.506218102,0.039458132,734110.7813
1.607960412,3.521591263,0.039460809,734110.7917
1.606290891,3.5020043,0.039463486,734110.8021
1.604342653,3.482417337,0.039466163,734110.8125
1.599657121,3.462830375,0.03946884,734110.8229
1.60733283,3.443243411,0.039471517,734110.8333
1.570700172,3.436432698,0.039474194,734110.8438
1.534067515,3.429621985,0.039476871,734110.8542
1.569673322,3.422811271,0.039479548,734110.8646
1.575796615,3.416000558,0.039482225,734110.875
1.626924711,3.242145837,0.039484902,734110.8854
1.678052808,3.068291113,0.039487579,734110.8958
1.687473795,2.894436392,0.039490256,734110.9063
1.685357102,2.72058167,0.039492933,734110.9167
1.674242354,2.684140392,0.03949561,734110.9271
1.676812625,2.647699114,0.039498287,734110.9375
1.674620335,2.611257837,0.039500964,734110.9479
1.680214454,2.574816558,0.039503641,734110.9583
1.610344075,2.595300604,0.039506318,734110.9688
1.616316174,2.615784649,0.039508995,734110.9792
1.608756555,2.636268694,0.039511672,734110.9896
1.608983343,2.65675274,0.039514349,734111
1.60845417,2.680917185,0.039517026,734111.0104
1.655021425,2.70508163,0.039519703,734111.0208
1.6115457,2.729246075,0.03952238,734111.0313
1.568069976,2.75341052,0.039525057,734111.0417
1.524594251,2.797736731,0.039527734,734111.0521
1.481118526,2.842062942,0.039530411,734111.0625
