n_hour, Temperature_deviation, electric_load, cooling_load, heat_load, mp 
0, 0, 21.2379732016828, 0, 4448.754756805164 , 0 
0, -1, 21.238522818194213, 0, 4448.754756805164, 549.8893114964029 
0, 1, 21.23755399491596, 0, 4448.754756805164, 549.8893114964029 
1, 0, 41.43276453221399, 0, 4329.5846445389725 , 0 
1, -1, 41.418640445022014, 0, 4329.5846445389725, 137.47232787410073 
1, 1, 41.447798156738045, 0, 4329.5846445389725, 137.47232787410073 
2, 0, 19.335336338643128, 0, 478.4861569135259 , 0 
2, -1, 19.332231070938963, 0, 478.4861569135259, 0.0 
2, 1, 19.33752777891077, 0, 478.4861569135259, 0.0 
3, 0, 14.711032320345323, 0, 478.4861569135259 , 0 
3, -1, 14.708890773866544, 0, 478.4861569135259, 0.0 
3, 1, 14.713201076328058, 0, 478.4861569135259, 0.0 
4, 0, 14.69943293825272, 0, 478.4861569135259 , 0 
4, -1, 14.697430306026664, 0, 478.4861569135259, 0.0 
4, 1, 14.701324525183875, 0, 478.4861569135259, 0.0 
5, 0, 14.557858400585083, 0, 478.4861569135259 , 0 
5, -1, 14.2610812609682, 0, 478.4861569135259, 0.0 
5, 1, 16.41868030231372, 0, 478.4861569135259, 0.0 
6, 0, 17.987896128892977, 0, 478.4861569135259 , 0 
6, -1, 17.97258600471419, 0, 478.4861569135259, 0.0 
6, 1, 18.015965266613055, 0, 478.4861569135259, 0.0 
7, 0, 22.24270469685113, 0, 4785.355389135707 , 0 
7, -1, 22.227267133743226, 0, 4785.355389135707, 137.47232787410073 
7, 1, 22.25267404578996, 0, 4785.355389135707, 137.47232787410073 
8, 0, 31.652136205655452, 0, 0 , 0 
8, -1, 31.637280604273005, 0, 0, 1374.7232787410073 
8, 1, 31.668152900023124, 0, 0, 1374.7232787410073 
9, 0, 43.51575157945425, 0, 4613.68057783586 , 0 
9, -1, 43.47628390011711, 0, 4613.68057783586, 1374.7232787410073 
9, 1, 43.538682819189255, 0, 4613.68057783586, 1374.7232787410073 
10, 0, 51.98445682808831, 0, 937.9819338123023 , 0 
10, -1, 51.9677525717387, 0, 937.9819338123023, 549.8893114964029 
10, 1, 52.000226215572056, 0, 937.9819338123023, 549.8893114964029 
11, 0, 37.50832263163445, 0, 14790.260981838668 , 0 
11, -1, 37.49217484251523, 0, 14790.260981838668, 549.8893114964029 
11, 1, 37.52467026715062, 0, 14790.260981838668, 549.8893114964029 
12, 0, 47.22211132533988, 0, 6766.002952533618 , 0 
12, -1, 47.2063894814355, 0, 6766.002952533618, 824.8339672446043 
12, 1, 47.236143423350235, 0, 6766.002952533618, 824.8339672446043 
13, 0, 45.43840333184352, 0, 11963.525339367683 , 0 
13, -1, 45.418820132609056, 0, 11963.525339367683, 1374.7232787410073 
13, 1, 45.46116688838876, 0, 11963.525339367683, 1374.7232787410073 
14, 0, 46.41059225558718, 0, 4494.8082865859005 , 0 
14, -1, 46.38836475854205, 0, 4494.8082865859005, 1374.7232787410073 
14, 1, 46.43405082131357, 0, 4494.8082865859005, 1374.7232787410073 
15, 0, 46.803998657923, 0, 9092.247575585528 , 0 
15, -1, 46.78085936186226, 0, 9092.247575585528, 824.8339672446043 
15, 1, 46.826317180922416, 0, 9092.247575585528, 824.8339672446043 
16, 0, 40.70064831304927, 0, 2661.744234565264 , 0 
16, -1, 40.68326992205401, 0, 2661.744234565264, 549.8893114964029 
16, 1, 40.71790978936669, 0, 2661.744234565264, 549.8893114964029 
17, 0, 38.8991364655341, 0, 9090.993336080164 , 0 
17, -1, 38.881876760159315, 0, 9090.993336080164, 687.3616393705037 
17, 1, 38.91629753100913, 0, 9090.993336080164, 687.3616393705037 
18, 0, 45.561004639442004, 0, 3733.155674443091 , 0 
18, -1, 45.54357634928389, 0, 3733.155674443091, 962.3062951187048 
18, 1, 45.57835338249213, 0, 3733.155674443091, 962.3062951187048 
19, 0, 43.726610294899956, 0, 14834.63447016685 , 0 
19, -1, 43.729664136991005, 0, 14834.63447016685, 1512.1956066151083 
19, 1, 43.74342546117144, 0, 14834.63447016685, 1512.1956066151083 
20, 0, 45.31833236782818, 0, 6403.589410876472 , 0 
20, -1, 45.308865586309096, 0, 6403.589410876472, 1787.1402623633096 
20, 1, 45.33496528423188, 0, 6403.589410876472, 1787.1402623633096 
21, 0, 38.48511632713942, 0, 11963.525011464886 , 0 
21, -1, 38.46845174755418, 0, 11963.525011464886, 1924.6125902374097 
21, 1, 38.501830481937716, 0, 11963.525011464886, 1924.6125902374097 
22, 0, 47.07109597879771, 0, 5717.01732304346 , 0 
22, -1, 47.05162821039341, 0, 5717.01732304346, 962.3062951187048 
22, 1, 47.089361768290836, 0, 5717.01732304346, 962.3062951187048 
23, 0, 44.25848125762192, 0, 11963.52316360017 , 0 
23, -1, 44.23955027200591, 0, 11963.52316360017, 549.8893114964029 
23, 1, 44.27764813236852, 0, 11963.52316360017, 549.8893114964029 
