ep_elecfromgrid_0,ep_electogrid_0,elec_unserve_0,heat_unserve_0,heat_dump_0,cool_unserve_0,turbine_y_0,turbine_y_1,turbine_y_2,turbine_y_3,turbine_xp_0,turbine_xp_1,turbine_xp_2,turbine_xp_3,boiler_y_0,boiler_y_1,boiler_y_2,boiler_y_3,boiler_y_4,boiler_x_0,boiler_x_1,boiler_x_2,boiler_x_3,boiler_x_4,chiller_x_0,chiller_x_1,chiller_x_2,chiller_x_3,chiller_x_4,chiller_x_5,chiller_x_6,chiller_x_7,chiller_x_8,chiller_yp_0,chiller_yp_1,chiller_yp_2,chiller_yp_3,chiller_yp_4,chiller_yp_5,chiller_yp_6,chiller_yp_7,chiller_yp_8,temp_0
9.890512672457422e-07,2.78828497267855e-07,1.6354702545744443e-10,1.6353963253576804e-10,6.19027869112788e-07,1.6354304830778702e-10,2022.0071217109999,6281.0462537959875,3983.544058850843,3949.22014611021,696.0355115065772,2187.4999788095292,1374.9999027935453,1374.9999782711918,2405.53331078766,2405.53331078766,2405.53331078766,2405.53331078766,2405.53331078766,2381.477977679783,2381.477977679783,2381.477977679783,2381.477977679783,2381.477977679783,8.215146114826566e-06,5.028243033398653e-06,5.028243033398653e-06,7.035803341385889e-06,7.035803341385889e-06,76.88144149995277,76.88144149995277,1.014552825401891e-06,4.783234213210924e-06,1.3985607746066461e-06,1.072348715870052e-06,1.072348715870052e-06,1.2778429332727942e-06,1.2778429332727942e-06,7.869939758414637,7.869939758414637,6.615066991270203e-07,1.0472691214253347e-06,0.9994905421370399
9.889562136559123e-07,2.788360624997152e-07,1.635532284944289e-10,1.6353962786562878e-10,6.190278514830025e-07,1.6354368322302942e-10,1772.9249113326061,6281.046253664435,3983.5440268779575,3949.2201459713838,610.2939422280228,2187.4999787637125,1374.9998917574644,1374.9999782228567,2387.6010122112007,2387.6010122112007,2387.6010122112007,2387.6010122112007,2387.6010122112007,2363.7250020890883,2363.7250020890883,2363.7250020890883,2363.7250020890883,2363.7250020890883,8.215369251281903e-06,5.0283796430357846e-06,5.0283796430357846e-06,7.035994459518959e-06,7.035994459518959e-06,76.88668018589922,76.88668018589922,1.0145803951323802e-06,4.783364154212706e-06,1.3985987520175232e-06,1.0723778408271785e-06,1.0723778408271785e-06,1.2778776352378292e-06,1.2778776352378292e-06,7.870476014525428,7.870476014525429,6.615246678685795e-07,1.0472975654265028e-06,-0.9999809872520049
9.88945456656757e-07,2.788369188391164e-07,1.6355397333455145e-10,1.6353944662149426e-10,6.190272053039601e-07,1.6354375941433918e-10,1657.197683611275,6281.0462536509585,3983.544022556666,3949.220145957162,570.457158629509,2187.4999787590195,1374.9998902658842,1374.999978217905,1635.0004592602854,1635.0004592602854,1635.0004592602854,1635.0004592602854,1635.0004592602854,1618.6504546676824,1618.6504546676824,1618.6504546676824,1618.6504546676824,1618.6504546676824,8.215394549559773e-06,5.0283951226547165e-06,5.0283951226547165e-06,7.0360161228885374e-06,7.0360161228885374e-06,76.89191887230501,76.89191887230501,1.0145835169669355e-06,4.7833788815349265e-06,1.3986030577645288e-06,1.072381140969863e-06,1.072381140969863e-06,1.2778815687724012e-06,1.2778815687724012e-06,7.87101227068325,7.87101227068325,6.615267023417776e-07,1.047300788251067e-06,-0.9998976192563985
9.890909995214155e-07,2.788253360256337e-07,1.6354467612100316e-10,1.6353944745159135e-10,6.19027209000723e-07,1.6354280765884562e-10,2050.7449135254337,6281.046253852042,3983.5440674754936,3949.220146169349,705.9279215828598,2187.499978829051,1374.9999057705159,1374.999978291782,1637.175067462222,1637.175067462222,1637.175067462222,1637.175067462222,1637.175067462222,1620.8033167875997,1620.8033167875997,1620.8033167875997,1620.8033167875997,1620.8033167875997,8.215053037294395e-06,5.028186013210772e-06,5.028186013210772e-06,7.035723597896258e-06,7.035723597896122e-06,76.89715755962098,76.89715755962098,1.0145413091591617e-06,4.783179956956075e-06,1.3985449327361519e-06,1.0723365591378494e-06,1.0723365591378494e-06,1.2778284543984417e-06,1.2778284543984417e-06,7.871548526934265,7.871548526934265,6.614991929785833e-07,1.0472572484695161e-06,-0.9998749391685464
9.891096729999687e-07,2.7882385058995225e-07,1.6354359404452577e-10,1.6353945272039783e-10,6.190272272415066e-07,1.635426968396996e-10,2001.3956591524054,6281.046253877552,3983.544070523549,3949.2201461962563,688.9404277500322,2187.499978837935,1374.9999068226132,1374.9999783011506,1659.5471624288914,1659.5471624288914,1659.5471624288914,1659.5471624288914,1659.5471624288914,1642.9516908046023,1642.9516908046023,1642.9516908046023,1642.9516908046023,1642.9516908046023,8.21500929260601e-06,5.02815921790522e-06,5.02815921790522e-06,7.03568612327414e-06,7.03568612327414e-06,76.90239624618674,76.90239624618837,1.0145358977743697e-06,4.783154471334287e-06,1.3985374873012837e-06,1.0723308461456951e-06,1.0723308461456951e-06,1.2778216497640306e-06,1.2778216497640306e-06,7.872084783108469,7.872084783108636,6.614956658793805e-07,1.0472516688279011e-06,-0.999862062173452
9.891078727405177e-07,2.78823993849944e-07,1.635436778324516e-10,1.6353945803696484e-10,6.190272455243313e-07,1.6354270536091838e-10,1942.6951915196796,6281.046253875041,3983.5440702157553,3949.2201461936083,668.7339657768191,2187.4999788370606,1374.999906716372,1374.9999783002283,1682.3457025488747,1682.3457025488747,1682.3457025488747,1682.3457025488747,1682.3457025488747,1665.5222455233857,1665.5222455233857,1665.5222455233857,1665.5222455233857,1665.5222455233857,8.21501354647617e-06,5.028161818370227e-06,5.028161818370362e-06,7.035689741720139e-06,7.035689741720139e-06,76.90763493264225,76.90763493264225,1.01453641933481e-06,4.783156879670399e-06,1.3985382120489131e-06,1.0723314002006588e-06,1.0723314002006842e-06,1.2778223112847143e-06,1.2778223112847143e-06,7.872621039271381,7.872621039271381,6.614960065166041e-07,1.0472522101561668e-06,-0.9999997415633082
9.889613039255566e-07,2.7883565717636856e-07,1.635529002242181e-10,1.6353948080604526e-10,6.190273238711078e-07,1.6354364935051423e-10,1845.5603562775675,6281.046253672749,3983.544029527312,3949.2201459801613,635.2972414414269,2187.499978766609,1374.999892671942,1374.9999782259126,1780.14045177265,1780.14045177265,1780.14045177265,1780.14045177265,1780.14045177265,1762.3390472549233,1762.3390472549233,1762.3390472549233,1762.3390472549233,1762.3390472549233,8.215357486928923e-06,5.0283723952019495e-06,5.0283723952019495e-06,7.035984363215023e-06,7.035984363215023e-06,76.91287361836663,76.91287361836663,1.0145789211023102e-06,4.7833572719097925e-06,1.3985967496378018e-06,1.0723762956127457e-06,1.0723762956127457e-06,1.2778758013262206e-06,1.2778758013262206e-06,7.873157295359434,7.873157295359434,6.615237070608419e-07,1.0472960555437118e-06,-0.9999871958813418
9.889944091719476e-07,2.7883302199141883e-07,1.6355066447935162e-10,1.6353971326157293e-10,6.19028165501081e-07,1.6354342043516565e-10,2084.6979944132822,6281.046253716796,3983.5440420442915,3949.220146026645,717.6155906168839,2187.499978781949,1374.999896992428,1374.9999782420969,2732.6746980388634,2732.6746980388634,2732.6746980388634,2732.6746980388634,2732.6746980388634,2705.347951058475,2705.347951058475,2705.347951058475,2705.347951058475,2705.347951058475,8.215279803006573e-06,5.028324825070873e-06,5.028324825070873e-06,7.035917818514935e-06,7.035917818514935e-06,76.91811230501153,76.91811230501153,1.0145693176950466e-06,4.783312003444297e-06,1.3985835280616727e-06,1.0723661536604767e-06,1.0723661536604767e-06,1.2778637190652278e-06,1.2778637190652278e-06,7.8736935515417406,7.8736935515417406,6.615174482354756e-07,1.0472861506368528e-06,-0.9999781991897216
9.89069283577649e-07,2.788270636674977e-07,1.6354595931103358e-10,1.635394995304603e-10,6.19027390272009e-07,1.6354293874156991e-10,2117.1849941987116,6281.04625382186,3983.5440632209575,3949.220146137505,728.7985905530223,2187.499978818539,1374.9999043019775,1374.999978280695,1857.8198139267136,1857.8198139267136,1857.8198139267136,1857.8198139267136,1857.8198139267136,1839.2416157874466,1839.2416157874466,1839.2416157874466,1839.2416157874466,1839.2416157874466,8.215104154242436e-06,5.028217268163906e-06,5.028217268163906e-06,7.035767366889705e-06,7.035767366889705e-06,76.92335099188435,76.92335099188435,1.0145476067259975e-06,4.7832097146527444e-06,1.398553632653362e-06,1.0723432227286643e-06,1.0723432227286643e-06,1.277836400251622e-06,1.277836400251622e-06,7.874229807747382,7.874229807747382,6.615032976308235e-07,1.0472637554556885e-06,-0.9999820379299567
9.890206027853528e-07,2.78830937340545e-07,1.6354895794266586e-10,1.6353975011680256e-10,6.190283020684046e-07,1.6354324563903905e-10,2175.6731088980614,6281.046253752729,3983.5440505349366,3949.2201460645633,748.9319542759794,2187.4999787944635,1374.9998999231439,1374.999978255299,2880.5743439178436,2880.5743439178436,2880.5743439178436,2880.5743439178436,2880.5743439178436,2851.7686004786647,2851.7686004786647,2851.7686004786647,2851.7686004786647,2851.7686004786647,8.21521840201214e-06,5.02828721267299e-06,5.02828721267299e-06,7.035865217471575e-06,7.035865217471575e-06,76.92858967814212,76.92858967814212,1.0145617219198557e-06,4.7832762215196645e-06,1.398573077654559e-06,1.0723581349201885e-06,1.0723581349201885e-06,1.2778541680788967e-06,1.2778541680788967e-06,7.874766063890049,7.874766063890049,6.615124977054331e-07,1.0472783190749185e-06,-0.9999910879728394
